"website_id","session_id","event_id","url_path","event_name","data_key","string_value","number_value","date_value","data_type","created_at","job_id"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","85ea8f79-1315-5115-879b-56d993592575","01e246f7-6572-44b8-b3c4-067ce8f695f8","/marjork/","site_loaded","device","mobile","\N","\N","1","2026-03-26 18:28:34","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","85ea8f79-1315-5115-879b-56d993592575","01e246f7-6572-44b8-b3c4-067ce8f695f8","/marjork/","site_loaded","theme","art","\N","\N","1","2026-03-26 18:28:34","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","c367eed8-83a7-5473-be6b-a04a68b1f85b","b3620754-ec7a-45c1-b3cf-0b6d0bb1a02a","/","kiss_button_click","message","красивая!","\N","\N","1","2026-03-31 03:15:28","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","e49600f9-686d-5ecb-8605-8ff883585c39","454bae04-5d14-43d8-b3d7-b245a0770dea","/marjork/","kiss_button_click","message","я тебя люблю!","\N","\N","1","2026-03-25 21:04:08","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","4dc98cd8-cea8-504c-b0ec-09c78b4f0cd8","02b9192b-46d1-4b83-b3da-6088b918b473","/","kiss_button_click","message","я тебя люблю!","\N","\N","1","2026-04-16 13:21:51","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","c8c65918-057e-54ec-a2fc-a3e8251ea550","0c54e39f-ce94-4904-b3e1-862a1c0d2261","/","minesweeper_open","difficulty","easy","\N","\N","1","2026-04-02 03:42:09","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","7e5dc743-a78e-5397-a0b1-a5bb2ef351cd","9b66d52f-dd87-415a-b3ec-2cb35d9472cc","/","theme_change","theme","retro","\N","\N","1","2026-04-04 04:42:41","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","64c86340-52ae-5ad4-a308-5635595f1ec0","969161cf-0efe-4841-b3fb-370ed5da97de","/","kiss_button_click","message","красивая!","\N","\N","1","2026-03-27 15:03:40","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","0890b3f2-ecd0-555a-b71a-14dc53287067","5094f70a-ee28-4c50-b406-ae98396780ed","/","photo_click","file","DUDEHELLOCAMERON.jpg","\N","\N","1","2026-04-18 16:29:55","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","0890b3f2-ecd0-555a-b71a-14dc53287067","5094f70a-ee28-4c50-b406-ae98396780ed","/","photo_click","theme","art","\N","\N","1","2026-04-18 16:29:55","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","4dc98cd8-cea8-504c-b0ec-09c78b4f0cd8","7e46e7bb-47e1-43dc-b426-d63968af7a5e","/","kiss_button_click","message","☀️ solnyshko ☀️","\N","\N","1","2026-04-16 13:21:23","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9883fd71-1911-5c3f-aa8c-dd7814cff2e1","2284f70e-e4fb-4d3f-b428-00eaae965a82","/marjork/","photo_click","file","quandry-04.jpg","\N","\N","1","2026-03-25 21:03:19","\N"
